id,date,weight
2,2017-10-06,66
2,2017-10-07,66
2,2017-10-08,66
2,2017-10-09,66
2,2017-10-10,66
2,2017-10-11,66
2,2017-10-12,66
2,2017-10-13,66
2,2017-10-14,66
2,2017-10-15,65
2,2017-10-16,65
2,2017-10-17,65
2,2017-10-18,65
2,2017-10-19,65
2,2017-10-20,65
2,2017-10-21,65
2,2017-10-22,65
2,2017-10-23,65
2,2017-10-24,64
2,2017-10-25,64
2,2017-10-26,64
2,2017-10-27,64
2,2017-10-28,64
2,2017-10-29,64
2,2017-10-30,64
2,2017-10-31,64
2,2017-11-01,64
2,2017-11-02,64
2,2017-11-03,64
2,2017-11-04,64
2,2017-11-05,64
2,2017-11-06,64
2,2017-11-07,64
2,2017-11-08,64
2,2017-11-09,64
2,2017-11-10,64
2,2017-11-11,64
2,2017-11-12,64
2,2017-11-13,64
2,2017-11-14,64
2,2017-11-15,64
2,2017-11-16,64
2,2017-11-17,64
2,2017-11-18,64
2,2017-11-19,64
2,2017-11-20,64
2,2017-11-21,64
2,2017-11-22,64
2,2017-11-23,64
2,2017-11-24,64
2,2017-11-25,64
2,2017-11-26,64
2,2017-11-27,64
2,2017-11-28,64
2,2017-11-29,64
2,2017-11-30,64
2,2017-12-01,64
2,2017-12-02,64
2,2017-12-03,64
2,2017-12-04,64
2,2017-12-05,64
2,2017-12-06,64
2,2017-12-07,64
2,2017-12-08,64
2,2017-12-09,64
2,2017-12-10,64
2,2017-12-11,64
2,2017-12-12,64
2,2017-12-13,64
2,2017-12-14,64
2,2017-12-15,64
2,2017-12-16,64
2,2017-12-17,64
2,2017-12-18,64
2,2017-12-19,64
2,2017-12-20,64
2,2017-12-21,64
2,2017-12-22,64
2,2017-12-23,64
2,2017-12-24,64
2,2017-12-25,64
2,2017-12-26,64
2,2017-12-27,64
2,2017-12-28,64
2,2017-12-29,64
2,2017-12-30,64
2,2017-12-31,64
2,2018-01-01,64
2,2018-01-02,64
2,2018-01-03,64
2,2018-01-04,64
2,2018-01-05,64
2,2018-01-06,64
2,2018-01-07,64
2,2018-01-08,64
2,2018-01-09,64
