date,id,steps,calories
2016-08-15,3,9985,3170.9
2016-08-16,3,7694,3097.8
2016-08-17,3,7414,3456.7
2016-08-18,3,8350,3710.9
2016-08-19,3,7259,3215
2016-08-20,3,5073,2906.4
2016-08-21,3,7025,3180
2016-08-22,3,12204,3589.3
2016-08-23,3,6673,3254.8
2016-08-24,3,8750,3355.3
2016-08-25,3,12817,3833.7
2016-08-26,3,11437,3450.4
2016-08-27,3,7528,4078.4
2016-08-28,3,9570,4130.2
2016-08-29,3,7011,3261.9
2016-08-30,3,9833,3071.1
2016-08-31,3,7505,3082
2016-09-01,3,7141,3206.1
2016-09-02,3,7803,3578.6
2016-09-03,3,11418,4153.2
2016-09-04,3,2754,3133.8
2016-09-05,3,5563,3286.7
2016-09-06,3,6951,3157.2
2016-09-07,3,8211,2989
2016-09-08,3,7946,3248.7
2016-09-09,3,7222,3197.4
2016-09-10,3,7242,3064.8
2016-09-11,3,10918,3630.3
2016-09-12,3,6128,2731.3
2016-09-13,3,7446,3115.9
2016-09-14,3,6879,3260.1
2016-09-15,3,7940,3313.4
2016-09-16,3,8339,3601.1
2016-09-17,3,3448,3013.4
2016-09-18,3,2805,3007.4
2016-09-19,3,6973,3450.5
2016-09-20,3,8622,3309
2016-09-21,3,9917,3628
2016-09-22,3,6467,3031.8
2016-09-23,3,10486,3555.3
2016-09-24,3,4889,2887.7
2016-09-25,3,4486,3518.9
2016-09-26,3,7996,3612.9
2016-09-27,3,6147,3518.1
2016-09-28,3,7155,3720.1
2016-09-29,3,10925,3612.7
2016-09-30,3,9418,3492.3
2016-10-01,3,9574,3442.2
2016-10-02,3,4491,3508.6
2016-10-03,3,7013,3526.4
2016-10-04,3,9590,3506.5
